access_sources,account_id,category,email,name,product_access_assignments,products,site_count,sites
"[""direct"", ""group""]",557058:0deeac49-2a49-400a-8393-8a9cc75761d9,high,,557058:0deeac49-2a49-400a-8393-8a9cc75761d9,3,"[""jira-software""]",3,"[""gli-delivery-tm"", ""gli-global-technology"", ""gli-it-project""]"
"[""direct"", ""group""]",557058:205f5205-4f26-48ff-85fe-22c22f46f04e,high,,557058:205f5205-4f26-48ff-85fe-22c22f46f04e,3,"[""jira-software""]",3,"[""gli-delivery-tm"", ""gli-global-technology"", ""gli-it-project""]"
"[""direct"", ""group""]",5b1539719595132534bc28a4,high,,5b1539719595132534bc28a4,3,"[""jira-software""]",3,"[""gli-delivery-tm"", ""gli-global-technology"", ""gli-it-project""]"
"[""direct"", ""group""]",5d42dad4f764920da7cccbd3,high,,5d42dad4f764920da7cccbd3,3,"[""jira-software""]",3,"[""gli-delivery-tm"", ""gli-global-technology"", ""gli-it-project""]"
"[""group""]",712020:fafc2b1b-7fe9-4986-96b3-42e0ac19cbf7,high,,712020:fafc2b1b-7fe9-4986-96b3-42e0ac19cbf7,3,"[""jira-software""]",3,"[""gli-delivery-tm"", ""gli-global-technology"", ""gli-it-project""]"
"[""direct"", ""group""]",557058:c6ec4742-681f-4743-bde1-2d3d8e055b6a,medium,,557058:c6ec4742-681f-4743-bde1-2d3d8e055b6a,2,"[""jira-software""]",2,"[""gli-delivery-tm"", ""gli-it-project""]"
"[""direct"", ""group""]",5a9d73cd7cbc742a5c1deda0,medium,,5a9d73cd7cbc742a5c1deda0,2,"[""jira-software""]",2,"[""gli-global-technology"", ""gli-it-project""]"
"[""direct"", ""group""]",5c867a42bd78bf5ae58d1726,medium,,5c867a42bd78bf5ae58d1726,2,"[""jira-software""]",2,"[""gli-global-technology"", ""gli-it-project""]"
"[""direct"", ""group""]",5c8696b05db2976adad45256,medium,,5c8696b05db2976adad45256,2,"[""jira-software""]",2,"[""gli-global-technology"", ""gli-it-project""]"
"[""direct"", ""group""]",5d13ed74b7ebec0c5dbc7de3,medium,,5d13ed74b7ebec0c5dbc7de3,2,"[""jira-software""]",2,"[""gli-global-technology"", ""gli-it-project""]"
"[""direct"", ""group""]",616701a307ac3c0068913946,medium,,616701a307ac3c0068913946,2,"[""jira-software""]",2,"[""gli-global-technology"", ""gli-it-project""]"
"[""direct"", ""group""]",621fca7f49c90000701f5cf5,medium,,621fca7f49c90000701f5cf5,2,"[""jira-software""]",2,"[""gli-global-technology"", ""gli-it-project""]"
"[""direct"", ""group""]",640f54de2cee496759e9ca64,medium,,640f54de2cee496759e9ca64,2,"[""jira-software""]",2,"[""gli-delivery-tm"", ""gli-it-project""]"
"[""group""]",712020:95c0100d-f959-4342-8ada-fcbbde1184fa,medium,,712020:95c0100d-f959-4342-8ada-fcbbde1184fa,2,"[""jira-software""]",2,"[""gli-global-technology"", ""gli-it-project""]"
"[""group""]",712020:b4265525-e011-41b0-a993-d06e6fc91fb1,medium,,712020:b4265525-e011-41b0-a993-d06e6fc91fb1,2,"[""jira-software""]",2,"[""gli-global-technology"", ""gli-it-project""]"
"[""group""]",712020:f3b47464-8559-426d-ae85-4dd15cc5ab36,medium,,712020:f3b47464-8559-426d-ae85-4dd15cc5ab36,2,"[""jira-software""]",2,"[""gli-global-technology"", ""gli-it-project""]"
"[""group""]",712020:f8b747ad-61f7-47d7-b8b5-bdc96a29ce9a,medium,,712020:f8b747ad-61f7-47d7-b8b5-bdc96a29ce9a,2,"[""jira-software""]",2,"[""gli-delivery-tm"", ""gli-it-project""]"
"[""direct"", ""group""]",557058:03dda04d-391e-41ad-baa9-f7d28994695b,low,,557058:03dda04d-391e-41ad-baa9-f7d28994695b,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""direct"", ""group""]",557058:0e422967-609b-44b6-a414-2e9e2234117e,low,,557058:0e422967-609b-44b6-a414-2e9e2234117e,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",557058:288381a0-3b59-4fe2-ac54-242442ff1751,low,,557058:288381a0-3b59-4fe2-ac54-242442ff1751,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",557058:41dd90bb-4756-41be-8bef-d5222244d88d,low,,557058:41dd90bb-4756-41be-8bef-d5222244d88d,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",557058:4253fc48-cab4-4928-94fb-8974d8e5f77b,low,,557058:4253fc48-cab4-4928-94fb-8974d8e5f77b,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",557058:4c73fb68-9d2f-4fa9-aa05-825947a73306,low,,557058:4c73fb68-9d2f-4fa9-aa05-825947a73306,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",557058:5ad427cb-ee2d-4d54-892b-a4a0531990ec,low,,557058:5ad427cb-ee2d-4d54-892b-a4a0531990ec,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",557058:7a80202a-6bba-4d09-bb81-002d0355d377,low,,557058:7a80202a-6bba-4d09-bb81-002d0355d377,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""direct"", ""group""]",557058:7fa9052b-e30b-4ebf-aa57-caaed9511cab,low,,557058:7fa9052b-e30b-4ebf-aa57-caaed9511cab,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",557058:af546d80-a2b0-4844-91bc-bea782420c57,low,,557058:af546d80-a2b0-4844-91bc-bea782420c57,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",557058:c0cd862e-dad3-4c40-a51a-57d2b1c56ee1,low,,557058:c0cd862e-dad3-4c40-a51a-57d2b1c56ee1,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",557058:c0f3faaf-09cc-4e08-ad32-bfdd3e011c3d,low,,557058:c0f3faaf-09cc-4e08-ad32-bfdd3e011c3d,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",557058:f7c0a677-cb62-4990-81f2-7a684c278256,low,,557058:f7c0a677-cb62-4990-81f2-7a684c278256,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""direct"", ""group""]",5a9d73f0c164262a8392ae11,low,,5a9d73f0c164262a8392ae11,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",5aeb1ccf91bc312e6a4ac202,low,,5aeb1ccf91bc312e6a4ac202,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",5b7c44319e14d92a56be45d8,low,,5b7c44319e14d92a56be45d8,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""direct"", ""group""]",5c867a5b3bee527de33cbb92,low,,5c867a5b3bee527de33cbb92,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",5c867aca88f9ec6ae0afabcf,low,,5c867aca88f9ec6ae0afabcf,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""direct"", ""group""]",5c867ae45db2976adad4515f,low,,5c867ae45db2976adad4515f,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""direct"", ""group""]",5c867b46ee8793790affe42f,low,,5c867b46ee8793790affe42f,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",5c867b68f63c96739fd921e6,low,,5c867b68f63c96739fd921e6,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""direct"", ""group""]",5c86958ba329a40b8555bdc0,low,,5c86958ba329a40b8555bdc0,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",5c8699380c61c37ea81dcea8,low,,5c8699380c61c37ea81dcea8,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""direct"", ""group""]",5c86995186c36970e81298b1,low,,5c86995186c36970e81298b1,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""direct"", ""group""]",5c8699979d7fc173a5952b64,low,,5c8699979d7fc173a5952b64,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""direct"", ""group""]",5c98b2d038f7806371d15a16,low,,5c98b2d038f7806371d15a16,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",5d387eaef8be2f0c20bb7d8f,low,,5d387eaef8be2f0c20bb7d8f,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",5df79618336e9e0cad168e00,low,,5df79618336e9e0cad168e00,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",5e3d91953f647d0c99d826ee,low,,5e3d91953f647d0c99d826ee,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",5ec6cd2c3434a20c34a883c8,low,,5ec6cd2c3434a20c34a883c8,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",60dc3c2a22c0920071aa2e86,low,,60dc3c2a22c0920071aa2e86,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""direct"", ""group""]",60dc69db1613d50069d35c5a,low,,60dc69db1613d50069d35c5a,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""direct"", ""group""]",60e41471c0db53006aa8e93d,low,,60e41471c0db53006aa8e93d,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""direct"", ""group""]",61659125198b4f0068dd01d6,low,,61659125198b4f0068dd01d6,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""direct"", ""group""]",6168c27e2f6aed00683dcd6d,low,,6168c27e2f6aed00683dcd6d,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",61a4f0a36d002b006bc29dde,low,,61a4f0a36d002b006bc29dde,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""direct"", ""group""]",61df7f1ae67ea2006b42bda9,low,,61df7f1ae67ea2006b42bda9,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",61f3c908875fc100705a2ba9,low,,61f3c908875fc100705a2ba9,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",621e03d5a12450006886adae,low,,621e03d5a12450006886adae,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""direct"", ""group""]",62962f2d2eafc9006eebc736,low,,62962f2d2eafc9006eebc736,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""direct"", ""group""]",630e318ab433b060db555ea1,low,,630e318ab433b060db555ea1,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""direct"", ""group""]",63735807fde064eda2ec1d04,low,,63735807fde064eda2ec1d04,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",63d8e047fb75f8568f5ee9cd,low,,63d8e047fb75f8568f5ee9cd,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""direct"", ""group""]",63dcd8eb790148a180951d19,low,,63dcd8eb790148a180951d19,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""direct"", ""group""]",63fdcbee81de11a1adf93df8,low,,63fdcbee81de11a1adf93df8,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:09079bb8-3ffa-49ca-8d82-44d5b8803d25,low,,712020:09079bb8-3ffa-49ca-8d82-44d5b8803d25,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:091af781-b284-42eb-aef8-c45ef364e4c8,low,,712020:091af781-b284-42eb-aef8-c45ef364e4c8,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:0b972f1a-0e65-4d36-92be-233d13e6d9fb,low,,712020:0b972f1a-0e65-4d36-92be-233d13e6d9fb,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:1818f819-69d6-48af-af80-80ed9d6aa968,low,,712020:1818f819-69d6-48af-af80-80ed9d6aa968,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""group""]",712020:25eab072-55fc-43ec-8604-46f8eae07bb4,low,,712020:25eab072-55fc-43ec-8604-46f8eae07bb4,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""group""]",712020:2a35164b-bddc-4234-a9f0-a1a4a2f38dd4,low,,712020:2a35164b-bddc-4234-a9f0-a1a4a2f38dd4,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""group""]",712020:2b2d29a3-f75a-46b8-b2a5-aa627cba18b5,low,,712020:2b2d29a3-f75a-46b8-b2a5-aa627cba18b5,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""group""]",712020:2d37241a-cdbc-4754-970d-59a58f845024,low,,712020:2d37241a-cdbc-4754-970d-59a58f845024,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""group""]",712020:31a6e2c8-b8aa-447b-8ce1-6d074e475713,low,,712020:31a6e2c8-b8aa-447b-8ce1-6d074e475713,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""group""]",712020:34715ba4-0832-458f-86ad-4e6770981191,low,,712020:34715ba4-0832-458f-86ad-4e6770981191,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""group""]",712020:3680915e-2163-4460-b067-6a430c97b7ce,low,,712020:3680915e-2163-4460-b067-6a430c97b7ce,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:37c9add3-ae6c-48b9-835e-2704f4e88c50,low,,712020:37c9add3-ae6c-48b9-835e-2704f4e88c50,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:39848a6d-2460-4317-985a-2bdf7b6df869,low,,712020:39848a6d-2460-4317-985a-2bdf7b6df869,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""group""]",712020:3bfdc65c-8c8d-4df4-ab1a-83bdb873f686,low,,712020:3bfdc65c-8c8d-4df4-ab1a-83bdb873f686,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""group""]",712020:3e9f6b9e-3ba9-40d9-87ba-4610d4b9222e,low,,712020:3e9f6b9e-3ba9-40d9-87ba-4610d4b9222e,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""group""]",712020:424661fd-685e-4f3a-8025-91733ad8297a,low,,712020:424661fd-685e-4f3a-8025-91733ad8297a,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:44d14faa-e9c5-47a1-9044-b4125dc39f62,low,,712020:44d14faa-e9c5-47a1-9044-b4125dc39f62,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:517e85e6-6bee-4b7f-88e0-d0a5cc9803f2,low,,712020:517e85e6-6bee-4b7f-88e0-d0a5cc9803f2,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""group""]",712020:52eef3c6-45c7-4c20-83ca-40449c455868,low,,712020:52eef3c6-45c7-4c20-83ca-40449c455868,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""group""]",712020:54b1509e-0678-4912-8d7f-df224774bf6a,low,,712020:54b1509e-0678-4912-8d7f-df224774bf6a,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""group""]",712020:573c60d0-ab00-44d9-9760-ca2e10ef35ac,low,,712020:573c60d0-ab00-44d9-9760-ca2e10ef35ac,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""group""]",712020:5fb6f7a9-916a-4530-a53c-f44424b9c23f,low,,712020:5fb6f7a9-916a-4530-a53c-f44424b9c23f,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:60b7ab80-ec73-4c12-a424-c0286a005733,low,,712020:60b7ab80-ec73-4c12-a424-c0286a005733,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""group""]",712020:6c453bd2-be0d-48ca-85c1-20156926dc2e,low,,712020:6c453bd2-be0d-48ca-85c1-20156926dc2e,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""group""]",712020:771bf8e7-280d-4c0d-812f-18a3be7a52e5,low,,712020:771bf8e7-280d-4c0d-812f-18a3be7a52e5,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""group""]",712020:79b0b4fc-de3d-4876-8e43-99739ff5aa6c,low,,712020:79b0b4fc-de3d-4876-8e43-99739ff5aa6c,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:7ebaf502-a1b1-453a-9bbc-c0a602d39d38,low,,712020:7ebaf502-a1b1-453a-9bbc-c0a602d39d38,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:8be0b0b8-d9b0-4f34-b777-041070602b7d,low,,712020:8be0b0b8-d9b0-4f34-b777-041070602b7d,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""group""]",712020:9aa1ad13-1d53-4448-9c4d-82aa2a71b7af,low,,712020:9aa1ad13-1d53-4448-9c4d-82aa2a71b7af,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:9cdfb4b2-a8ed-4732-be8a-d1ba41c2e304,low,,712020:9cdfb4b2-a8ed-4732-be8a-d1ba41c2e304,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:a10364a6-3af7-4b08-95e6-ab1aa06fd849,low,,712020:a10364a6-3af7-4b08-95e6-ab1aa06fd849,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:a2992214-dacd-4f06-a998-0487bb2fff4b,low,,712020:a2992214-dacd-4f06-a998-0487bb2fff4b,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""group""]",712020:a3a2e726-8b4c-4279-8229-24af4ff4e901,low,,712020:a3a2e726-8b4c-4279-8229-24af4ff4e901,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:a3ae965f-a490-484d-afda-0036560a1fe8,low,,712020:a3ae965f-a490-484d-afda-0036560a1fe8,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""group""]",712020:a4e31cbc-809f-4a74-bdd1-8e9e8406d519,low,,712020:a4e31cbc-809f-4a74-bdd1-8e9e8406d519,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:a53054f2-911f-4bb9-aecf-868f8aef6fcf,low,,712020:a53054f2-911f-4bb9-aecf-868f8aef6fcf,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""group""]",712020:a637e624-1e26-4ffc-9acc-5ce93ea8d7c2,low,,712020:a637e624-1e26-4ffc-9acc-5ce93ea8d7c2,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""group""]",712020:ad92688b-af26-4d57-b0e0-dd74e35d2c15,low,,712020:ad92688b-af26-4d57-b0e0-dd74e35d2c15,1,"[""jira-software""]",1,"[""gli-it-project""]"
"[""group""]",712020:b0d92f2f-8bf9-494c-988a-2db8b4b6a918,low,,712020:b0d92f2f-8bf9-494c-988a-2db8b4b6a918,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""group""]",712020:b50c4888-42bc-40c4-817b-daea96188c38,low,,712020:b50c4888-42bc-40c4-817b-daea96188c38,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:b7cfccab-c274-42e0-9a6a-adc8f35f6c62,low,,712020:b7cfccab-c274-42e0-9a6a-adc8f35f6c62,1,"[""jira-software""]",1,"[""gli-global-technology""]"
"[""group""]",712020:b7fcc038-a225-4c0f-97bd-346decea6e00,low,,712020:b7fcc038-a225-4c0f-97bd-346decea6e00,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""group""]",712020:c34981e4-6784-47c1-9a24-437125dabe94,low,,712020:c34981e4-6784-47c1-9a24-437125dabe94,1,"[""jira-software""]",1,"[""gli-delivery-tm""]"
"[""group""]",712020:c4e1ef45-3025-4dfa-8d58-cb8e3a5755f8,low,,712020:c4e1ef45-3025-4dfa-8d58-cb8e3a5755f8,1,"[""jira-software""]",1,"[""gli-it-project""]"
